"Name","Birthday"
"Crown Princess Mary of Denmark ","05.02.72"
"Queen Mathilde of Belgium","20.01.73"
"Princess Claire of Belgium","18.01.74"
"George Alexander Louis of Cambridge","22.07.13"
"Charlotte Elizabeth Diana","02.05.14"
